,train_nll,train_cosmooth_nll,val_nll,val_cosmooth_nll,iter
0,1.6545780897140503,0.9576857089996338,1.654740333557129,0.958122968673706,0
1,1.451537847518921,0.7980740666389465,1.4529809951782227,0.7997021675109863,1
2,1.0792512893676758,0.5758048892021179,1.0853848457336426,0.5803728103637695,2
3,0.628567099571228,0.36012953519821167,0.6375107169151306,0.36576929688453674,3
4,0.40926387906074524,0.2289331555366516,0.414347767829895,0.23381684720516205,4
5,0.3547341227531433,0.1700715571641922,0.3568708896636963,0.17322492599487305,5
6,0.34957826137542725,0.14004261791706085,0.3500511050224304,0.14203040301799774,6
7,0.3522854447364807,0.12552423775196075,0.35096293687820435,0.12661679089069366,7
8,0.34218817949295044,0.11949338018894196,0.3409324884414673,0.12004970014095306,8
9,0.3195730149745941,0.11763852089643478,0.31754782795906067,0.11779497563838959,9
10,0.29236742854118347,0.11759038269519806,0.2902085483074188,0.11740386486053467,10
11,0.264274537563324,0.11812329292297363,0.2628462016582489,0.11774702370166779,11
12,0.24309459328651428,0.11872906237840652,0.24256742000579834,0.11831213533878326,12
13,0.2345806360244751,0.11926347762346268,0.2340335249900818,0.11891595274209976,13
14,0.2337702214717865,0.11973699927330017,0.2335122972726822,0.11949922889471054,14
15,0.23193231225013733,0.12012935429811478,0.23209799826145172,0.11996767669916153,15
16,0.2286067008972168,0.12043103575706482,0.22825142741203308,0.12024515122175217,16
17,0.2237376570701599,0.12052647769451141,0.2233475148677826,0.12030335515737534,17
18,0.2200642228126526,0.12038065493106842,0.21979805827140808,0.1202017068862915,18
19,0.2199278473854065,0.12003730982542038,0.21954163908958435,0.1199723482131958,19
20,0.22195491194725037,0.11959490925073624,0.2219190001487732,0.11961834132671356,20
21,0.22401294112205505,0.11908754706382751,0.22407829761505127,0.1191496029496193,21
22,0.22567860782146454,0.11852363497018814,0.2255394607782364,0.11853843182325363,22
23,0.2252410352230072,0.11788283288478851,0.22536692023277283,0.11777431517839432,23
24,0.22352680563926697,0.11712764203548431,0.2235291451215744,0.11694718897342682,24
25,0.22062382102012634,0.11631890386343002,0.22060996294021606,0.11612869799137115,25
26,0.21738865971565247,0.11550693958997726,0.21695417165756226,0.11536338925361633,26
27,0.21403558552265167,0.11472952365875244,0.21388369798660278,0.11470677703619003,27
28,0.2118614763021469,0.11405330151319504,0.21164774894714355,0.11409158259630203,28
29,0.21009859442710876,0.11342880129814148,0.20997989177703857,0.11355607211589813,29
30,0.20855340361595154,0.11291693896055222,0.2084839791059494,0.11318256705999374,30
31,0.20707805454730988,0.11255757510662079,0.2071550488471985,0.1129191443324089,31
32,0.2061704397201538,0.11230963468551636,0.2063479721546173,0.11273054033517838,32
33,0.20575568079948425,0.11211467534303665,0.2057327926158905,0.11255402117967606,33
34,0.20530422031879425,0.1119375228881836,0.20517899096012115,0.11240324378013611,34
35,0.20497910678386688,0.11176415532827377,0.20484523475170135,0.11226439476013184,35
36,0.20496773719787598,0.1116069108247757,0.20502117276191711,0.11213592439889908,36
37,0.2049773633480072,0.11149975657463074,0.20514199137687683,0.11204424500465393,37
38,0.2044467329978943,0.11141780018806458,0.20472180843353271,0.1119479164481163,38
